Jméno rubriky,Název článku/videa,Views,Dokoukanost do 25 %,Dokoukanost do 50 %,Dokoukanost do 75 %,Dokoukanost do 100 %
Krimi,Zloději v Praze strhávají turistům sledujícím orloj zlaté šperky z krku,1953,89,2985151,84,07578085,78,59703021,73,16948285
Počasí,Požáry ve Španělsku a Portugalsku mají další oběti, uzavřeli poutní cestu do Santiaga,1828,88,18380744,79,86870897,71,38949672,67,28665208
Zahraniční,Krokodýl usmrtil 13letého indonéského chlapce, který si šel do řeky pro zakopnutý míč,1799,93,38521401,90,55030573,88,04891606,85,04724847
Plzeňský kraj,Plzeň touží po soukromé rozhledně na Chlumu, možná ji smění za pozemky,1797,91,8196995,88,59209794,85,36449638,81,46911519
TV a streaming,RECENZE: Seriál Mladá krev sází na neokoukané tváře a zkušenou režisérku,1759,89,36895964,82,94485503,76,12279704,76,06594656
Zdraví,Cvičení, kvůli kterému nemusíte vstát z gauče,1734,82,00692042,72,49134948,64,12918108,55,70934256
Krimi,V bytě v Libčicích nad Vltavou hořelo, uvnitř našli mrtvého muže,1713,81,08581436,68,70986573,68,70986573,68,70986573
Koktejl,Krysa v Kambodži vytvořila nový rekord, našla 109 nevybuchlých min,1709,92,91983616,90,05266238,77,41369222,73,14218841
Film,RECENZE: Nikdo 2 – nájemný vrah workoholik řádí na dovolené,1622,77,1270037,67,69420469,58,01479655,39,51911221
Cestování,Chorvatské město, kde moře hraje a slunce svítí i v noci,1620,69,13580247,58,27160494,47,28395062,42,4691358
Hry a herní systémy,Gamescom 2025: V Kingdom Come: Deliverance II si otevřete kovárnu, nové rozšíření je za rohem,1588,79,91183879,71,7884131,63,60201511,56,54911839
Domácí,Lži a hrozby. Moskva působila na zahraničí vždy stejně, řekl Lipavský na festivalu NeverMore 68,1472,65,69293478,51,63043478,41,98369565,33,62771739
Bydlení,Prodali vše a žijí v chatce na třiceti metrech čtverečních. Když si lezou na nervy, jdou se projít,1330,77,89473684,66,54135338,50,15037594,42,63157895
Krimi,Policie honila ujíždějící BMW po D1 z Prahy až na Vysočinu,1285,90,73929961,89,10505837,78,52140078,73,46303502
Počasí,Počet obětí záplav v Pákistánu stoupl téměř na 700. Kondoloval i prezident Pavel,1267,84,68823994,72,5335438,58,8792423,44,59352802
Domácí,Zdravotníci připravili letní kino pro nemocné. Sledovali film z polohovacích postelí i vozíků,1266,80,4107425,72,59083728,55,92417062,47,07740916
Film,Neznámý příběh judisty Lukáše Krpálka. V dokumentu Jemný rváč vystupuje i Ondřej Vetchý,1259,72,12073074,61,15965052,54,40826052,33,75694996
Jihomoravský kraj,Řemeslníci opravují historické strážnické brány, rukama jim projde každá cihla,1242,85,74879227,84,94363929,75,44283414,75,44283414
Koktejl,Němka přenechala koupelnu holubům, sprchovat se chodí k příteli,1147,90,23539669,81,8657367,75,76285963,69,13687881
Film,Velký vlastenecký výlet: Hrůzy, které zazní od dezolátů na válečné Ukrajině,1110,88,55855856,86,12612613,83,15315315,69,81981982
Řetězák,Internetem se šíří smutné pohledy údajných zadržených britských vojáků. Jde o dílo umělé inteligence,1110,40,54054054,26,84684685,18,73873874,7,207207207
Hry a herní systémy,Gamescom 2025: 10 nejlepších trailerů z největšího herního veletrhu na světě,1110,76,30630631,64,41441441,51,98198198,27,11711712
Věda a školy,Vzácné záběry. Mezihvězdnou kometu 3IATLAS mají vědci dále „v hledáčku“,1107,88,70822042,75,70009033,64,13730804,52,12285456
Koktejl,Seniorka finále Miss Universe Korea nevyhrála, získala cenu za nejhezčí šaty,1094,78,42778793,71,75502742,66,08775137,61,60877514
Hry a herní systémy,Gamescom 2025: Tankové bitvy v jedné rodině. World of Tanks chystá novinky,1070,77,85046729,63,27102804,50,56074766,28,5046729
Krimi,Jeřáb nesundal rameno a narazil jím do mostu na dálnici D3,1068,82,77153558,73,78277154,55,24344569,45,50561798
Film,Oběti vypreparoval orgány, nakonec jí vyčistil zuby. Do kin míří Stvůry podle české detektivky roku,1037,78,97782064,63,45226615,51,97685632,37,60848602
Krimi,Ukradené cenné sochy od Kodeta a Brože sešrotovali ve sběrně,1025,82,82926829,74,14634146,63,6097561,55,80487805
Koktejl,Krysa pobíhala řidiči na kapotě, když jel po čínské dálnici,1003,86,34097707,79,96011964,72,78165503,72,78165503
