Column1
Jméno rubriky,Název článku/videa,Views,Dokoukanost do 25 %,Dokoukanost do 50 %,Dokoukanost do 75 %,Dokoukanost do 100 %
Bydlení,Vodárenská věž v Jičíně nabízí netradiční nocleh s perličkou pro odvážlivce,14339,69.5515726340749,56.62877467047911,47.69509728711905,39.77962200990306
Krimi,Tragická nehoda na Táborsku. Řidič škody narazil do stromu u silnice,14336,87.57672991071429,77.50418526785714,65.02511160714286,59.84235491071429
Podcasty a pořady,Ondřej Neff o srpnu 1968: Po chodbách rozhlasu jsme doslova šli krví,14221,9.900850854370297,6.525560790380423,5.105126221784684,3.01666549469095
Krimi,Muž ve Varech vyhodil psa z pátého patra. Dostal čtyři roky vězení,14005,90.62477686540521,83.46304891110317,78.236344162799,78.236344162799
Koktejl,Na dálnici v Číně se zřítil jeřáb, pohotový řidič odvrátil střet v poslední vteřině,13898,90.14246654194848,76.89595625269823,74.08979709310692,65.97352136998128
Bydlení,DJ si kvůli stížnostem od sousedů předělal nahrávací studio. Vstup má jako do kadibudky,13825,78.70524412296564,52.46292947558771,32.08679927667269,20.96202531645569
Cestování,Turisty na řecké pláži překvapil rohatý bandita,13189,85.3817575252104,69.36083099552658,60.34574266434149,46.68284176207445
Domácí,Ve Vršovicích se jela Formule 1 ve skateboardingu. Hlavně to přežít, říkali jezdci o extrémním závodě,12877,80.30597188786209,66.31979498330355,58.12689290983924,49.20400714452124
Krimi,Má zákaz řízení a nesmí do Česka. Jízda opilého Poláka skončila u Olomouce,12865,92.5612125923047,88.558103381267,82.35522736105713,82.34745433346289
Domácí,S kamerou na stavbě Dvoreckého mostu. Hotový by měl být v únoru,12822,83.38012790516301,74.8011230697239,67.57916081734518,58.46981750116986
Moravskoslezský kraj,Originál od Kodeta odnesli zloději do šrotu, novou lázeňskou kolonádu v Darkově zdobí replika,12292,76.79791734461439,60.71428571428571,47.51871135698015,42.97917344614383
Tipy na výlety,Roztomilá mláďata rysů lákají kousek za české hranice. Jejich spatření se rovná výhře v loterii,12157,81.64020728798224,72.41095665048944,64.55540018096569,53.10520687669656
Válka na Ukrajině,Ruský útok zasáhl americký podnik v Mukačevu. Kousek od hranice Slovenska,11852,85.01518731015862,78.13027337158286,69.95443806952413,64.99325008437394
Amerika,Před 36 lety zavraždil s bratrem své rodiče. Soud Erikovi Menendezovi zamítl žádost o propuštění,11098,91.32276085781221,85.56496666065958,79.37466210127951,77.69868444764822
