Název videa;Views;Dokoukanost 25 %;Dokoukanost 50 %;Dokoukanost 75 %;Dokoukanost 100 %;Dokoukanost 25 %;Dokoukanost 50 %;Dokoukanost 75 %;Dokoukanost 100 %;KP 28 (Views);KP 7 (Views)
Parlamentní volby - Spolu představilo program: Reforma EU a přijetí eura „za výhodných podmínek“;51158;3738;1494;888;474;7,306775089;2,920364361;1,735798898;0,926541303;;
Krimi - Žena v Plzni zakopla a přejela ji tramvaj;48750;38822;30133;30133;30133;79,63487179;61,81128205;61,81128205;61,81128205;;
Blízký a Střední východ - Húsíové si troufli ostřelovat Tel Aviv kazetovou municí. Izrael si to líbit nenechal;47432;42955;38596;38163;36285;90,56122449;81,37122618;80,45834036;76,49898802;;
Cestování - Čech dvakrát vyrazil na jednu z nejizolovanějších tras světa. Potíže na sebe nenechaly dlouho čekat;45224;1762;989;691;420;3,89616133;2,186891916;1,527949761;0,928710419;;35504,71429
Zdraví - V jednatřiceti dostal mrtvici, přestože žil zdravě a sportoval. Dnes mladý lékař bojuje za návrat na porodní sál;44473;36438;29877;24218;20901;81,93285814;67,18008679;54,45551233;46,99705439;;
Krimi - Sebevrah v centru Plzně skočil z mostu do řeky. Na místě zemřel;41199;34818;29102;24247;24247;84,51175999;70,63763684;58,85337023;58,85337023;;
Počasí - Čekají nás příjemné letní dny;40363;1011;422;212;151;2,504769219;1,045511979;0,525233506;0,374104997;;40209,14286
Plzeňský kraj - Dvě buchty vs. bagry. Kavárna na rozkopaném plzeňském náměstíčku bojuje o přežití;40322;32811;30058;27494;25117;81,37245176;74,54491345;68,18610188;62,29105699;;
Krimi - Obětí vraždy v Ratenicích se stala 78letá žena, podezřelý je cizinec;39852;30245;25159;17118;14579;75,89330523;63,13108501;42,95392954;36,58285657;;
Počasí - Ráno mrzlo a padaly rekordy;38925;2;0;0;0;0,005138086;0;0;0;;
Počasí - Česko čeká chladný víkend;38620;1394;454;229;163;3,609528742;1,175556706;0,592957017;0,422061108;;
Válka na Ukrajině - To je zase ráno, sakra. Obyvatele ruského přístavu vytočil další útok dronů;37840;34494;31703;31184;29362;91,15750529;83,78171247;82,41014799;77,59513742;;
Plzeňský kraj - Ráj vepřů a ruiny kolem. Památný dvůr pod Zelenou Horou ale už vstává z popela;37533;31966;29685;27543;24800;85,16771907;79,09040045;73,38342259;66,07518717;;36350,57143
Koktejl - Muž zůstal dva dny uvězněný za vodopádem v Kalifornii;37354;24699;21447;18063;14140;66,12143278;57,41553783;48,35626707;37,85404508;;
Krimi - Policie u hlavního nádraží v Praze objevila mrtvolu;36835;27142;26982;22365;22364;73,6853536;73,25098412;60,71670965;60,71399484;;33699,28571
Krimi - Sok se střelenými hýžděmi, hrozby zabitím. Řádění muže mezi paneláky v Praze utnula policie;35838;30374;27440;24753;22255;84,75361348;76,5667727;69,06914448;62,09888945;;
